"level_id","n_clusters","cluster_size","icc","mu","model_type","n_reps","var_delta","bias_delta","mse_delta","ci_coverage","conv_rate","tau","mean_outcome"
64,100,10,0.15,-3.49573227355399,"log",100,0.108509745310676,0.00909325216143542,0.107507335092441,0.95,0.62,0.420084025208403,0.0331240067696963
65,10,20,0.15,-3.49573227355399,"log",100,14.6403776820559,0.705271797554138,14.9883943814806,0.979591836734694,0.346938775510204,0.420084025208403,0.0331240067696963
66,26,20,0.15,-3.49573227355399,"log",100,0.251691722977,0.0135243101300225,0.249357712711723,0.92,0.45,0.420084025208403,0.0331240067696963
67,76,20,0.15,-3.49573227355399,"log",100,0.0667523661765435,0.0044462919663323,0.066104612027028,0.98,0.81,0.420084025208403,0.0331240067696963
68,100,20,0.15,-3.49573227355399,"log",100,0.0496980128600981,0.00404953263824867,0.0492174314460854,0.95,0.75,0.420084025208403,0.0331240067696963
69,10,50,0.15,-3.49573227355399,"log",100,0.289265481154209,0.068808573953171,0.291107446192136,0.91,0.56,0.420084025208403,0.0331240067696963
70,26,50,0.15,-3.49573227355399,"log",100,0.113350771024289,0.0735037773781852,0.117620068602908,0.86,0.76,0.420084025208403,0.0331240067696963
71,76,50,0.15,-3.49573227355399,"log",100,0.027186563828893,-0.0263354211681843,0.0276082525987098,0.85,0.87,0.420084025208403,0.0331240067696963
72,100,50,0.15,-3.49573227355399,"log",100,0.0205306995504949,-0.00758588297803108,0.0203829381755463,0.84,0.83,0.420084025208403,0.0331240067696963
73,10,100,0.15,-3.49573227355399,"log",100,0.165702330661732,0.0362826561085412,0.165361738489405,0.91,0.67,0.420084025208403,0.0331240067696963
74,26,100,0.15,-3.49573227355399,"log",100,0.0615061756829743,-0.00201435674835134,0.0608951715592542,0.91,0.92,0.420084025208403,0.0331240067696963
75,76,100,0.15,-3.49573227355399,"log",100,0.022354221857656,0.0121759233031886,0.0222789327473645,0.95,1,0.420084025208403,0.0331240067696963
76,100,100,0.15,-3.49573227355399,"log",100,0.0165000078657137,0.00202985333679539,0.0163391280916255,0.98,1,0.420084025208403,0.0331240067696963
77,10,500,0.15,-3.49573227355399,"log",100,0.0872427017224991,-0.00567195989045176,0.086402445834273,0.93,0.99,0.420084025208403,0.0331240067696963
78,26,500,0.15,-3.49573227355399,"log",100,0.0392016191758133,-0.00456227827902252,0.0388304173671504,0.91,1,0.420084025208403,0.0331240067696963
79,76,500,0.15,-3.49573227355399,"log",100,0.0109639626154501,0.00791020394002588,0.0109168943156684,0.96,1,0.420084025208403,0.0331240067696963
80,100,500,0.15,-3.49573227355399,"log",100,0.0114048087416396,-0.0259709229074499,0.0119652494908879,0.93,1,0.420084025208403,0.0331240067696963
81,10,10,0.2,-3.49573227355399,"log",100,90.3846591572535,1.00421491690642,90.4416892917776,0.989473684210526,0.252631578947368,0.5,0.0343644639395486
82,26,10,0.2,-3.49573227355399,"log",100,0.450316820246709,-0.0998099015439104,0.455636395247071,0.948453608247423,0.443298969072165,0.5,0.0343644639395486
83,76,10,0.2,-3.49573227355399,"log",100,0.19187001554904,0.0282748582504267,0.19073140219298,0.929292929292929,0.555555555555556,0.5,0.0343644639395486
84,100,10,0.2,-3.49573227355399,"log",100,0.129837770447777,0.0150114885152658,0.128764737530743,0.9,0.67,0.5,0.0343644639395486
85,10,20,0.2,-3.49573227355399,"log",100,32.1637275402067,1.74989490661376,34.8976584229688,0.938775510204082,0.357142857142857,0.5,0.0343644639395486
86,26,20,0.2,-3.49573227355399,"log",100,0.225259959842592,0.048187251903041,0.225329371490133,0.98,0.69,0.5,0.0343644639395486
87,76,20,0.2,-3.49573227355399,"log",100,0.0834588820075738,0.00886064939969933,0.0827028042952824,0.94,0.8,0.5,0.0343644639395486
88,100,20,0.2,-3.49573227355399,"log",100,0.070340805635987,0.0122596316030885,0.0697876961466706,0.92,0.91,0.5,0.0343644639395486
89,10,50,0.2,-3.49573227355399,"log",100,0.294778342020108,0.0359493942133546,0.293122917544214,0.91,0.57,0.5,0.0343644639395486
90,26,50,0.2,-3.49573227355399,"log",100,0.135550172313159,-0.0221033005701246,0.134683226486121,0.89,0.85,0.5,0.0343644639395486
91,76,50,0.2,-3.49573227355399,"log",100,0.0380916142549968,0.0280469035300448,0.0384973269100705,0.87,0.89,0.5,0.0343644639395486
92,100,50,0.2,-3.49573227355399,"log",100,0.034214514405984,0.0089975076093857,0.0339533244051052,0.81,0.87,0.5,0.0343644639395486
93,10,100,0.2,-3.49573227355399,"log",100,0.189383111311358,0.0645204848172499,0.191652173159297,0.91,0.72,0.5,0.0343644639395486
94,26,100,0.2,-3.49573227355399,"log",100,0.0775733216654989,-0.00785139905325907,0.0768592329159375,0.92,0.97,0.5,0.0343644639395486
95,76,100,0.2,-3.49573227355399,"log",100,0.0210508844539057,-0.00424560747975628,0.0208584007922388,0.98,1,0.5,0.0343644639395486
96,100,100,0.2,-3.49573227355399,"log",100,0.0186981784859739,0.013790668282174,0.0187013792327831,0.95,1,0.5,0.0343644639395486
97,10,500,0.2,-3.49573227355399,"log",100,0.15045564487414,0.0218135334369723,0.149426918666404,0.89,0.96,0.5,0.0343644639395486
98,26,500,0.2,-3.49573227355399,"log",100,0.0430368849574543,0.00396103389386666,0.0426222058973882,0.94,1,0.5,0.0343644639395486
99,76,500,0.2,-3.49573227355399,"log",100,0.0160693611306393,0.00098011575209925,0.0159096281462204,0.94,1,0.5,0.0343644639395486
100,100,500,0.2,-3.49573227355399,"log",100,0.00947280087168977,-0.0157921677815025,0.009627465426212,0.97,1,0.5,0.0343644639395486
101,10,10,0.01,-3.34563464615371,"log",100,76.2544212785592,1.39337952319696,77.3932496555021,0.894736842105263,0.168421052631579,0.100503781525921,0.0354162635827579
102,26,10,0.01,-3.34563464615371,"log",100,4.49167935994658,0.154751403193395,4.47025685815159,0.96969696969697,0.313131313131313,0.100503781525921,0.0354162635827579
103,76,10,0.01,-3.34563464615371,"log",100,0.0966889101220296,-0.0045280755348993,0.095742524488859,0.99,0.47,0.100503781525921,0.0354162635827579
104,100,10,0.01,-3.34563464615371,"log",100,0.10542400362215,0.0882521825296594,0.112158211307177,0.93,0.42,0.100503781525921,0.0354162635827579
105,10,20,0.01,-3.34563464615371,"log",100,11.420097074974,0.564861626501259,11.6249647613179,0.97,0.21,0.100503781525921,0.0354162635827579
106,26,20,0.01,-3.34563464615371,"log",100,0.160836178188309,-0.0527040803723837,0.162005536494325,0.98,0.39,0.100503781525921,0.0354162635827579
107,76,20,0.01,-3.34563464615371,"log",100,0.0558003157254843,0.0330719258704417,0.0563360648490094,0.96,0.45,0.100503781525921,0.0354162635827579
108,100,20,0.01,-3.34563464615371,"log",100,0.0511510483837419,-0.0226731789729736,0.051153610944645,0.94,0.55,0.100503781525921,0.0354162635827579
109,10,50,0.01,-3.34563464615371,"log",100,0.215571192974017,0.0020468042485102,0.213419670451908,0.98,0.27,0.100503781525921,0.0354162635827579
110,26,50,0.01,-3.34563464615371,"log",100,0.0757285152387159,0.00955267604601892,0.075062483705969,0.95,0.38,0.100503781525921,0.0354162635827579
111,76,50,0.01,-3.34563464615371,"log",100,0.0213118690492079,-0.00187090747169189,0.0211022506534835,0.96,0.48,0.100503781525921,0.0354162635827579
112,100,50,0.01,-3.34563464615371,"log",100,0.0171498861972712,-0.0105989260120737,0.0170907245679079,0.98,0.44,0.100503781525921,0.0354162635827579
113,10,100,0.01,-3.34563464615371,"log",100,0.0913064001537674,0.0628153175752836,0.0943391002743134,0.99,0.29,0.100503781525921,0.0354162635827579
114,26,100,0.01,-3.34563464615371,"log",100,0.0326878466975957,0.00550064857677669,0.0323912253653849,0.96,0.39,0.100503781525921,0.0354162635827579
